用户ID 用户昵称 用户头像地址 评论时间 点赞总数 评论内容
60458990 aptxaaaa http://p1.music.126.net/UWiOEz8-NfUkluawbbAZDA==/109951162794862192.jpg 1498070273184 0 测试
377201487 你会等风到来么 http://p1.music.126.net/4owU7X_Gl5uezh4WqNSBiA==/18523472394761131.jpg 1497967532727 1  在现在小学生听都感觉非主流的歌 那是我们的回忆啊 ❤️
110487840 晴天yyyyyy http://p1.music.126.net/_7cPPLKpHag7JbnA0syT5Q==/1364493978680554.jpg 1497959902238 0 这歌不错啊
402803654 L稳住我们能赢丶 http://p1.music.126.net/J9OXArAKJaReeQ4UaApiPA==/19155691579197969.jpg 1497852506286 1 居然木有999😱
477273626 多心_ http://p1.music.126.net/aJC-Y_PMpnoJbQQY-KYpnA==/18883012695532949.jpg 1497672886421 0 都是回忆里的味道
260699318 -左-岸 http://p1.music.126.net/LXTrTu06l71cB0250tfWaw==/18862121974608118.jpg 1497665986642 0 路过，好听，打个卡[大笑]
296868669 请我吃甜筒阿 http://p1.music.126.net/wKx4DbB6bO-G-Qw4BwIPJg==/18503681185789247.jpg 1497581288793 0 这个歌不错哦
353192170 给谁告白 http://p1.music.126.net/cgycwB4kz8qDx5GH5rmvFw==/3441471408758199.jpg 1497411435085 0 谁们给我这首歌吉他谱啊跪求
326171141 阿扬啦啦啦 http://p1.music.126.net/nxynYalimro8JRN51o71qA==/18566353348332812.jpg 1497398512261 0 426[爱心]
475886442 A锕源 http://p1.music.126.net/t7pfvl9mNfCtFyVRnnjVBA==/18709289860172570.jpg 1497370769904 0 打卡
506995891 芊墨娇狂 http://p1.music.126.net/1ZYpYyLdaqjwhz7QXEAD9g==/18624627464854595.jpg 1497359369358 3 初中喜欢的男生喜欢这首歌，现在我高三毕业，他是我男朋友
352818669 路过山川湖海也带不走的你 http://p1.music.126.net/F5jRGzL7eHipSoIhRLPJoA==/3446968967800279.jpg 1497278423450 0 今天突然想到这首歌 来听听啊[大笑]
271833714 PrinceTalhrin http://p1.music.126.net/qR-uzkp1Mrr2Xupl0SvXRg==/1390882222484829.jpg 1497205386053 0 中毒
304101613 旅人的背影 http://p1.music.126.net/UuWo2ckNwQJ6BevISDDlUg==/19049038951290802.jpg 1497164141916 2 网易云真的是一个有逼格的地方，这种歌都不能入你们耳朵，反而听不懂任何含义的歌倒是很火嘛
125080901 尘土飞扬的青春 http://p1.music.126.net/4-7UT-IdCsVgThx1ELcJSg==/19168885718839506.jpg 1497088580714 0 小时候我们都有最想拥有的玩具  长大后得到了却又有什么意义
421005454 北港-初晴 http://p1.music.126.net/IELSvnckk9DffUweUJPk9w==/18746673255375624.jpg 1496884179075 1 很好听
297845334 短发少女闪闪亮 http://p1.music.126.net/8kMK0C_EAVXOlgTWgGnaEA==/19061133579266001.jpg 1496874353428 0 趁年轻 不要做让自己后悔的事情，不要给老了留下遗憾。[爱心]
363109269 橙汁爱鱼屎 http://p1.music.126.net/KnyuBowK9AzZofp-4ym6lA==/18825838091998543.jpg 1496850867632 0 我后悔自己没有去很多地方旅行。
290121076 LovableK http://p1.music.126.net/4fiY7lMyh4Tfabt_L5BXeA==/2946691176524254.jpg 1496823968456 0 好听
257793317 柚呀- http://p1.music.126.net/l5vwNWo1zbF3jr67vEd43w==/19033645788598483.jpg 1496798687424 1 真的好听可是没有999+
286770072 不悲傷的微笑 http://p1.music.126.net/W47mLEIc7m2RBFF77f0VGA==/19221662276921397.jpg 1496744437197 2 我创作了一个歌单，里面有一些超赞的陪伴青春的清新华语歌曲，希望它可以唤起大家的美好浪漫回忆，望能喜欢，谢谢。
498818153 爱冰淇淋的我 http://p1.music.126.net/qv32o0aaw1d-s_cfcw5ARA==/18612532836907207.jpg 1496664542644 1 好可惜凌不能走到最后!难过!!
498818153 爱冰淇淋的我 http://p1.music.126.net/qv32o0aaw1d-s_cfcw5ARA==/18612532836907207.jpg 1496663652550 1 希望凌能一直走下去!可是~
498818153 爱冰淇淋的我 http://p1.music.126.net/qv32o0aaw1d-s_cfcw5ARA==/18612532836907207.jpg 1496663546922 1 好听!
500245550 虚拟小号潘潘吖 http://p1.music.126.net/5oFl9NccoTo2v4HFqfTyAA==/18592741627620307.jpg 1496650299383 1 别等到我们慢慢老去，却剩下叹息
365327631 Chiwel http://p1.music.126.net/gWL8XGQIxLbFrXBj2cXk-A==/18526770929927907.jpg 1496625249649 1 逛街的时候听到的，第一次听就觉得很好听
348851484 西周周 http://p1.music.126.net/HGp1CuwDLlYtZUO64mrP4A==/18663110371591866.jpg 1496590852507 1 第一首我跟她合唱的歌啊[憨笑]
247660846 _闪光皮皮虾 http://p1.music.126.net/5fnVwlGGobzoxykGM6patg==/1365593499821412.jpg 1496588647915 0 为999+助力！
298359845 贤一岁 http://p1.music.126.net/M8PcX8ieUpAdHePCC1JURA==/18813743464851583.jpg 1496579364540 0 每次想出去玩却被学习压力弄的不可开交。。只能盼望自由 🍳🍳
331521944 我就叫无 http://p1.music.126.net/FvsPhflqUMCsL0Pui7wcYg==/1366692968795092.jpg 1496533857400 0 不科学啊，前年的日推，我还做过稿子的配乐嘞~
347691003 须尽欢yu_ http://p1.music.126.net/LlVzHJs17LWdzjZcaEvtRA==/18570751395055493.jpg 1496482737503 0 小时候我们都有最想拥有的玩具，长大后得到了却又有什么意义。
411742881 懵芍 http://p1.music.126.net/Xm6Kl5H1-CK7_9k6XSc4_Q==/18735678139128774.jpg 1496322641505 0 d
408093810 岁月神偷juice http://p1.music.126.net/UyeG8aRDBbWIjKsSQOqWtg==/19023750183922088.jpg 1496217780571 0 听了6年他的歌了
137540214 笨笨笨笨蛋是你 http://p1.music.126.net/_AUnu5c8p4bPvJia7qpw9w==/18797250790122196.jpg 1496181235979 1 一直都没有人陪我唱这首歌。
352852062 一个桃九 http://p1.music.126.net/E0AxB2T9-HApB4XXqEt_ew==/18519074348324592.jpg 1495994283237 0 喜欢！
402993340 迪凯奥斯郊区 http://p1.music.126.net/TUyqOuNCDSKV65FZQAdiPA==/18738976673969073.jpg 1495860699528 3 等小秘什么时候推一下，这歌就能火了，火钳刘明。
341088809 staywithmysel http://p1.music.126.net/wkyo7fzl2xrwphUUOSHgtw==/19071029183839312.jpg 1495722069283 1 现在的每一刻请学会好好珍惜，别等到我们慢慢老去只剩下叹息[憨笑]
